购买车型,购买地点,购买时间,购买裸车价（万元）,空间,动力,操控,能耗,舒适性,外观,内饰,性价比,购车目的1,购车目的2,购车目的3,购车目的4,汽车类型,最满意的一点,最不满意的一点
2018款 秦EV450 智联锋尚型,郑州,2018年9月,25.07,4,5,5,5,5,5,5,5,上下班,购物,,,EV,我对这辆车最满意的地方就是续航里程方面，这也是这辆车到手之后给我的最大的惊喜。另外一个满意的地方就是这辆车的外观吧，很漂亮的一款车，年轻时尚，辨识度也非常的高，非常符合我对车的审美。,其实我对这辆车大部分都还挺满意的，甚至有些地方还给了我一些小惊喜。如果说不满意那就说说空间方面的吧，前排空间还好，后排空间稍微有点小了，尤其是后备箱的空间，虽然不算小，但是空间却不规整，装东西就不那么方便了。
2018款 秦EV450 智联时尚型,莱芜,2018年8月,14.98,5,5,5,5,5,5,4,5,上下班,购物,,,EV,我最满意的地方应该是后期成本了吧，喜欢看新闻的朋友肯定知道最近的油价，国际原油降价，国内的油却涨价，这样的逻辑也是没谁了，没办法，普通老百姓就认了吧，大家都喊着油价高，开不起车了，其实说实话，油价再高，开车的人还得得照常开，我之所以换车，并不是因为说加不起油了，只是觉得随你怎么涨，我并不是非你不可，新能源现在的发展越来越好了，还是想着买辆纯电动的车吧，平时上班下，接送老婆和孩子挺合适的，跟油耗说拜拜，节能环保从我做起！,
2018款 秦EV450 智联时尚型,上海,2018年9月,24.07,4,5,5,5,5,5,4,5,上下班,购物,,,EV,舒适性真滴还不错，纯电动车开着特别安静，没有发动机那种噪声，整个世界都清静了感觉真的太棒了，之前开的车就噪音很大，我妈坐上去都很嫌弃，老人家就是怕吵，现在这车她就比较满意了，安安静静的开车聊天什么的特别清楚。减震的效果很不错，遇到比较颠簸的路也不会很明显的抖动，座椅的舒适性也是比较好的，坐着比较柔软舒服。,内饰看着不够档次啊，颜色比较暗沉，更要命的是座椅的材质，要不就直接上真皮要不就不要吧，用仿皮的就很拉低档次，我觉得手感不是特别好，刚到手的时候车子还会有股味道，我鼻子又很敏感，隔了一段时间才开。
2018款 秦EV450 智联尊尚型,长沙,2018年8月,26.07,5,5,5,5,5,5,4,5,上下班,购物,接送小孩,,EV,综合起来感觉各方面都是比较满意的，就目前的使用感受来说，最满意主要是两点，第一是动力和续航，第二是空间。买车之前也对比了很多其他车型，秦的动力参数应该是拔尖的，开起来也确实感觉很有劲，电机加速的感觉和烧油的发动机还有些不一样，没有任何迟钝，反应很快，踩多少有多少，后劲也挺足。实测秦的续航，最多能开到300多公里没问题，表上显示剩余60多公里，保守估计开到没电大概四百多，完全够用，油车加二百块钱也就400公里吧。作为电动车来说，秦的电池没有占用太大空间，车内空间挺宽敞，后备箱满足日常的使用没问题，这点也比较满意。,
2018款 秦EV450 智联尊尚型,河源,2018年7月,26.07,5,5,5,5,4,5,4,5,上下班,购物,,,EV,最喜欢就是秦的外观，外观上设计有自己的特色，开出去辨识度也高。不像其它燃油车都长相差不多，停路边都开不出那辆是自己的车，自从换了秦我离老远都能看到自己的车在哪，因为秦有很多地方和燃油车不一样。。,其实对于纯电动车最不满意的就是胎噪有点明显。还有有时候感觉中控那有异响，但有的时候也没有，所以这个也算个不满意的点吧，都是一些小问题反正。
2018款 秦EV450 智联时尚型,烟台,2018年7月,14.88,4,5,5,5,5,5,4,5,上下班,,,,EV,纯电动车的优势大家都知道，开车的时候真的特别安静，车子启动的时候，不熟悉的人坐这车可能会疑惑，这车子启动了吗？上次有个朋友就是，说纯电动车的行驶质感真是不错，不像有的车发动机的噪声太大了。另外就是省钱，超省钱，充一个电我能跑半个月，能有多少钱？它的续航有400公里，跑高速也没问题，一个半小时就能充满电，出发前准备好就行了。,这车子外形颜色还挺丰富，比较青春靓丽，红色、橙色、蓝色和白色，每一款颜色我都挺喜欢的，但内饰颜色就有一点沉闷了，全黑和黑棕，提车时只有全黑，觉得内饰的配色不妨大胆一些，年轻人嘛，还是需要一些活泼点的感觉。
2018款 秦EV450 智联尊尚型,苏州,2018年8月,16.99,4,5,5,5,4,5,5,5,上下班,购物,,,EV,"续航的话,可以说是我最满意的一个点了。上下班来回程，可能就是130到140km，有时候会绕个远路或者逛一逛什么的，不太好估算。不过，绝对要够用的。而且这几年充电桩的覆盖范围还是很大的。说到充电问题的话，还有一点也算是挺满意的，就是快充还是很带劲的，一个小时都可以冲到一半了。",对秦不满意的地方还是有的。毕竟车无完车，人无完人。第一个就是它的悬架还是有点偏硬的，所以有时候跑烂路的话，感觉有点颠，不是那么的舒服。第二点的话就是驾驶室的储物空间，相对来说设计不是那么合理，有时候一些小物件的话，不是那么好放。
2018款 秦EV450 智联锋尚型,深圳,2018年9月,15.99,4,5,5,5,5,5,4,5,上下班,购物,自驾游,,EV,实惠经济的纯电动，这个电耗我很满意，和燃油车比起来，用车成本完全是非常让我感动的，又省事又省钱，不用每天关注着加什么油，涨了多少钱，电一充就完事，还很快。买车的时候会有国家的政策支持，补贴力度还是很不错，经济性是绝对有的，还可以响应一下国家的绿色能源发展。更重要的一点是，开车不限行，想啥时候开都成，这种感觉特别爽。,这个内饰怎么看怎么不顺眼，颜色很沉闷，材质也一般，看起来没什么特别的地方，这个价格内饰当然是不可能豪华的，但起码要做得好看些，有点设计吧，毕竟开车的时间对着的就是内饰，颜值还是很重要的，这也是我买车前很纠结的一点。
2018款 秦EV450 智联锋尚型,沈阳,2018年9月,24.07,4,5,5,5,4,4,5,5,上下班,购物,,,EV,最满意的是性价比高，后期使用成本基本上可以忽略不计了。因为我的秦是纯电动的，根本不需要喝油，你们是给油就跑，按是给电就跑。油价和电的价格大家可以比较下，根本是一个天上一个地上，这么一算一年省很多钱。,非说那不满意，那就是后备箱偏小，如果想出游或者送孩子上学，密码箱大的话不是很好放，后备箱虽然不常用，但是用到的时候太小，内心难免有点小小的不开心，后备箱空间要能在大点就好了。
2018款 秦EV450 智联锋尚型,赣州,2018年8月,15.99,4,5,5,5,5,5,5,5,上下班,购物,,,EV,最满意的要是这款车的能耗了，新能源的车就是好，不烧油非常的省，电耗在14左右也就是百公里十四千瓦时，相当相当的省钱了，而且新能源汽车在未来应该会是一个趋势，节能减排从我做起嘛，算是为环境保护贡献自己的力量。,最不满意的应该是这款车的空间，空间不算太够用，满载的情况下还是有点拥挤了，从后排空间来说我坐在后排，1米75左右的身高膝盖刚好挨到前排座椅，这个空间是稍微有一点小的。
2018款 秦EV450 智联尊尚型,郑州,2018年9月,26.07,5,5,5,5,4,5,4,5,上下班,购物,自驾游,,EV,最满意的就是续航了，日常开一般不会把电量开到最低，保留百分之十左右的话开三百公里没有问题，平时一般也不会去太远的地方，一百五十公里的活动半径完全够用了，而且现在充电桩越来越多，充电也是比较方便的。还有就是秦的快充很给力，一个半小时能充百分之八十，跑跑长途也未尝不可。另外，之前开惯了汽油车再开秦会觉得特别安静，首先发动机的噪音就没有了，而且电动车起步超车感觉很有爆发力，正常开也没有换挡的顿挫，很平顺。,最不满意的地方有两点，第一车悬挂有点硬了，走不好的路的时候会有点颠。第二，就是驾驶室和副驾驶室储物空间少了点，平时和老婆的一些水杯和各种小物件总感觉无处安放。
2018款 秦EV450 智联锋尚型,盐城,2018年8月,25.07,4,5,5,5,5,5,5,5,上下班,,,,EV,综合来说各方面都是比较满意的。提速快，一脚油门下去速度蹭蹭的就起来了，而且完全没有燃油车那种干吼，加速过程波澜不惊，爆发力十足，真要跑起来，想看到秦的尾灯不是一件容易事。外形看着很顺眼，尤其是尾灯晚上一亮起来，整条的大光带很抓人眼球，回头率杠杠的。内饰感觉也不错，设计、做工和用料都挺好，比较有高级感。,后备箱空间比较小，不过这也不算问题，但是后排座椅不能放倒就真的有些不方便了。日常来说后备箱是够用的，但是需要搬一些大件的东西座椅不能放倒就无法满足，灵活性稍微差一些。
2018款 秦EV450 智联尊尚型,北京,2018年4月,16.99,4,5,5,5,5,4,5,5,上下班,,,,EV,提速爽啊，各种舒适型配置都有了,电机声较大吧，车门轻轻关不上
2018款 秦EV450 智联锋尚型,北京,2018年8月,15.69,5,5,4,5,5,5,5,5,上下班,,,,EV,续航里程对我来说很足，很够用，很耐用；外形看着大气，还是入的我的法眼的；动力表现优秀的。,没有，都很好。
2018款 秦EV450 智联时尚型,东莞,2018年8月,14.88,4,5,5,5,5,5,5,5,上下班,,,,EV,操控性贼好，开起来称手；外观好看，酷酷的感觉，又有种神气威武的气势，内饰的布置还叫人贼舒服，大气。,贼喜欢了，爱还来不及，哪来的不满意。
2018款 秦EV450 智联时尚型,驻马店,2018年9月,14.88,5,5,5,5,4,5,5,5,上下班,,,,EV,最满意的要说就是省钱了，买新能源也就是看中了这一点。,跑高速的时候胎噪比较大，可能是因为平时跑市区太安静了吧，反差挺大的。
2018款 秦EV450 智联尊尚型,北京,2018年8月,16.2,3,4,3,5,4,3,5,4,上下班,,,,EV,电耗满意，每公里8分钱左右，基本不用考虑能耗费用问题,首先，车辆悬挂过高，翼子板与轮胎之间距离过大，怎么看怎么别扭，搞不懂比亚迪为什么要这么设计，如果为了增加车底板离地间隙才这么搞，那可以增加轮毂直径嘛。其次，整车质量和细节工艺还有待于提升，上个车开的是速腾，对比之下，还是差距不小。开了三个月，大问题没有，小问题不少，比如左前门异响，路况稍微差点就吱吱响，玻璃关不紧，高速时候感觉凉风嗖嗖从玻璃缝中钻进来，下车时又经常提示玻璃未关上（其实已经关了好几遍），这些懒得管他了，这周又胎压报警了，没办法，只能到4S店，所以现在有空坐在4S店里发这篇评论了。
2018款 秦EV450 智联时尚型,深圳,2018年9月,14.89,5,4,5,5,4,5,5,5,上下班,购物,接送小孩,,EV,省钱方便，不需要加油是我最满意的。其次就是空间合适，一家人出行完全没问题。,最不满意的是减振效果不是很好，走泥路、烂路都会有颠簸的感觉。
2018款 秦EV450 智联尊尚型,莱芜,2018年6月,16.58,4,4,4,4,4,4,4,4,上下班,,,,EV,我最满意的一点是这车的舒适度，皮质方向盘，握感超好，真皮座椅，和仿皮的手感真的是不一样，坐着也特别软。我对汽油味过敏，一闻就特别容易咳嗽，新能源的车除了新车异味，没什么汽油味我开着还能舒服点。,这款车总体来说，我都比较满意，稍稍有一点不满意的就是车的稳定性并没有销售人员说的那么好，过减震带的时候，颠簸感还是很明显。
2018款 秦EV450 智联尊尚型,东营,2018年8月,26.07,2,4,3,5,4,5,4,4,上下班,,,,EV,这款车毕竟是顶级配置，怎么说都是很厉害的一款选择，前排的座椅都带着加热和通风的功能，最重要的还有就是全景的影像，对于一个新手，有前后雷达不说，有这个全景的影像来说，新车上手也不会特别害怕刮蹭到，这是我比较满意的一点。,这款车的悬架有点硬，就是开一些比较有坑洼不平的路面的时候，那个颠簸感还是多多少少都比较明显的，还有就是这款车的空间，车身太窄了，有很多时候空间坐起来不安逸。
2018款 秦EV450 智联锋尚型,石家庄,2018年8月,15.99,5,4,4,4,4,4,4,5,上下班,,,,EV,一辆纯电动汽车就算有再高级的配置也不见得会有多大诱惑力，反而续航路程才是我最关心的。秦新能源锋尚型的续航有400公里，我非常满意，平时除了接送小孩日常代步行驶外，还能出远门，带着小孩去动物园、博物馆，开着空调也能跑300多公里，真正的跟汽油车没什么区别。,比较不满意的是后排没有独立的空调，我儿子是个小胖子，特别怕热，坐在后排又好动，后排出风口风力不强劲，每次都要把前排空调开到最大。
2018款 秦EV450 智联时尚型,武汉,2018年8月,14.66,3,4,4,5,3,5,4,5,上下班,购物,接送小孩,自驾游,EV,我觉得比亚迪在新能源车型中，我还是比较放心的，车子的电池比较耐用。而且后期费用比较少，可以省下油钱了，这点还是比较满意的。,舒适性方面做得不算很好，悬挂不算很舒适，过一些坑洼路段的时候感觉震动感还是挺明显的。
2018款 秦EV450 智联时尚型,邢台,2018年6月,14.76,3,5,4,5,4,5,5,4,上下班,,,,EV,比亚迪在技术上还是有相对优势的，特别是新能源领域，建树颇多。纯电行驶的驾驶质感非常不错，省油是最大的一个特点，我从家到公司的距离是30公里左右，并且在家就能充电，而且充电方面令人很满意，快充只需要1.5小时就可以完全充满，续航400公里也是一个大亮点。,座椅不够软，悬挂做的不舒服。速度较低时，发动机噪音有点大，且带有轻微震动，门把手过于清脆，快速关门时，弹回的门板响声过大，而且轮眉大得离谱。可以选的颜色太少，且只有白色黑内好看
2018款 秦EV450 智联时尚型,台州,2018年6月,14.89,5,4,4,4,4,5,4,4,上下班,,,,EV,续航高，满电能跑450公里左右，对于我这种小资家庭来说，每个月加油的话还是有一点小负担，但是电就不担心了，因为油钱高于电费，而且电也比油环保。最喜欢的就是它的后尾灯，就像是一体式的一样，给我独特的感觉，第一眼看到这辆车的后尾灯，我就知道我喜欢上它了。另外，试驾之后感觉这款车的驾驶体验不错，提速、舒适性方面都感觉比较爽。,日常使用中最大的问题还是充电和保养，毕竟是电动车，在很多方面的了解都还比较少，充电桩也少，虽然续航里程相对来说已经比较高了，但平时开去外地的时候仍然会担心续航不够，充电麻烦。
2018款 秦EV450 智联尊尚型,天津,2018年8月,26.0,3,5,5,2,5,5,5,2,上下班,购物,接送小孩,跑长途,EV,自己从毕业到现在才两年的时间，这两年来省吃俭用最后买到这款车，感觉非常开心。,价格还是比较贵，国产车应该性价比再高一点。
2018款 秦EV450 智联锋尚型,葫芦岛,2018年8月,25.07,5,2,5,2,5,5,5,5,上下班,购物,接送小孩,自驾游,EV,这车的性价比非常有优势，优惠力度挺大的。,动力感觉不够用。
2018款 秦EV450 智联锋尚型,北京,2018年6月,15.99,4,4,4,4,5,4,3,5,上下班,自驾游,,,EV,出行用车成本低，不限行，提速比燃油车要快，开起来静音效果好，家里和单位都有充电桩，充电无忧，倒车影像使用方便,夏季开空调乘坐4人只能跑290多公里，不知道是不是个人问题后排空间稍微窄了点，后备箱放不了大件的行李
2018款 秦EV450 智联尊尚型,北京,2018年6月,16.99,4,5,4,4,5,4,4,4,上下班,购物,自驾游,,EV,车子性能不错 听说是赛车底盘,车子使用一个多月 车内中控台有异响 听着很麻烦 路面有点颠簸就会出现
2018款 秦EV450 智联尊尚型,西安,2018年11月,16.99,5,5,5,5,4,5,5,5,上下班,购物,,,EV,最主要也是最满意的就是这车是新能源车型挂绿牌，在西安目前全年限号的城市，解决了出行问题！,那就是比亚迪品牌喽，毕竟以前确实车型很一般，近两年用新能源车型让大家刮目相看。还有就是小区和单位充电设施不是很健全，希望以后会更好！
2018款 秦EV450 智联尊尚型,北京,2018年7月,16.99,5,5,5,5,4,5,5,5,上下班,购物,接送小孩,自驾游,EV,外观漂亮，智能化，时尚，操控性舒适。,感觉车隔音效果不太好。
2018款 秦EV450 智联尊尚型,北京,2018年8月,16.99,5,5,5,5,5,3,5,5,上下班,购物,接送小孩,,EV,舒适性和他的功能性,外观可以再改进一些吧
2018款 秦EV450 智联锋尚型,北京,2018年5月,15.99,1,5,5,5,5,5,5,5,上下班,购物,接送小孩,自驾游,EV,静音效果很好，提速很快，行车质感大幅提高,车子空间太小，与车长明显不符
2018款 秦EV450 智联锋尚型,广州,2018年9月,15.99,4,4,5,4,4,5,5,5,上下班,购物,接送小孩,商务接送,EV,,
2018款 秦EV450 智联尊尚型,北京,2018年7月,16.99,5,5,5,5,5,5,3,5,上下班,接送小孩,购物,,EV,操控体验感特别好，配置也比较高。,就是希望续航的公里数还能再高一点。
2018款 秦EV450 智联尊尚型,北京,2018年5月,16.99,5,5,2,5,5,4,5,5,上下班,,,,EV,个人车动力相当给力，九月初开车从北京回山西老家，五个大人加满后备厢行李，eoc模式下，轻松超车，座椅电动调节加记忆，比较人性化。续航扎实。加速推背感强，上次回老家，颠覆了老家人民对电车的偏见。自己家装了充电桩，电费4毛7，一次充电只需用30多块钱，用车费用低。可以开车随便浪。车内气味几乎没有。续航正常上下班开能达到380左右。是在开空调的情况下，也算可以了。,使用一个月后空调有异响，车胎打过一次气后胎压检测从2.7掉到2.5，感觉胎压监测不太准，玻璃升降有晃动。高速超过130时车内噪音有点大，车胎和车身间隙比较大。座椅记忆功能有两次开机后没有自动复原，原因不详。
2017款 1.5T 秦100,榆林,2017年9月,18.5,5,5,4,4,4,5,4,5,上下班,,,,DM,最满意的就是它的动力系统，自从提车到现在，每次开出去整个人都飘了，不过最近好了点，哈哈，提速真的太快了，见了任何车都想超，尤其抢灯的时候，瞬间就出去了，带女朋友出去也特别拉风，其实年轻人么，多少有点虚荣心，这也正常，其实开始想买个A4或者途观，毕竟德系车么，但是后来慢慢看了好久，了解了好久，人家都说现在都流行油电混合的车，样子也时尚又耐看，后来慢慢的了解到了唐，最后仔细算了一下，性价比确实挺高，也有一些亮点是别的车没有的，最终就买个趋势,最不满意就是买的时候说这个车油耗特别低，基本不用怎么加油，其实油耗也高了，起码比我想象的高，最后找到经销商，他们说了半天也没太懂，给我重新设置了下，说以后能好点，就是油耗不太满意
2017款 1.5T 秦100,烟台,2018年8月,20.99,5,4,5,5,5,5,5,5,上下班,购物,,,DM,大气而又时尚的外观是我满意之处，而颜值则是当初我的首要考虑。前脸的车标是我最觉得特别之处，还有就是中控台上的超大屏幕我很中意。其次有补贴购置税是我很早就了解过的，这点也较为满意。,起步一般，不是很快。新车应该都有一些味道吧，通风一段时间会好一点。
2017款 1.5T 秦100,北京,2018年9月,20.99,5,5,5,5,5,4,5,5,上下班,购物,接送小孩,自驾游,DM,车子各个部分的设计都恰到好处，不仅提升了车子的时尚感，而且让车子看起来更加具有辨识度和青春气息。,洗车之后大灯有起雾，不知道是不是正常现象。
2017款 1.5T 秦100,松原,2018年5月,14.29,5,5,5,5,5,2,2,3,上下班,,,,DM,行驶过程中非常静音，节省代步神器大屏幕给力，自家品牌在不断突破进步感到高兴自豪,电子切换档位不灵敏，车门力度轻关不上
2017款 1.5T 秦100,济南,2018年5月,13.7,5,5,4,5,5,4,5,4,上下班,,,,DM,动力澎湃，混合动力，远程开空调,挂档有时需要挂两次，希望能够修正过来
2017款 1.5T 秦100,南宁,2017年8月,19.99,5,5,5,5,4,5,5,5,上下班,购物,接送小孩,自驾游,DM,这款车的动力确实挺好的，起步很快，等红绿灯的时候一般都会第一个冲出去，纯电模式下动力也足够用。,这款车子舒适性方面比较差，特别是车子的隔音，如果速度比较快的话，车内的噪音就会比较明显，胎噪和风噪都会比较大。
2017款 1.5T 秦100,自贡,2017年11月,19.99,4,5,5,5,4,5,5,5,上下班,购物,接送小孩,自驾游,DM,作为新能源的一款车这款车的性价比方面确实挺不错的，裸车价格比较便宜，买这款车还是觉得比较合算的，而且车子的油耗很低，平时充电比较方便，在市区可以用纯电模式基本上就可以把油钱给省下了。,这款车的舒适性不够好，底盘调校得挺硬的，过减速带起伏感还是比较明显的。
2017款 1.5T 秦100,上海,2017年10月,19.99,4,5,5,5,4,5,5,5,上下班,购物,接送小孩,自驾游,DM,这款车子比较适合在市区驾驶，不仅开起来灵活，油耗也比较低，平时充电方面基本上就可以把油钱省了，短途驾驶用纯电模式就可以了。,底盘方面不够好，市区现在修路，好多路都坑坑洼洼的，底盘的颠簸感还是比较明显的。
2017款 1.5T 秦100,南京,2017年12月,19.99,5,5,5,5,4,5,4,5,上下班,购物,,,DM,车子的外观很时尚，而且颜色很亮丽，开在路上回头率还是比较高的，整体的设计感非常顺畅，线条处理的很到位，看起来也比较顺眼。,这款车子的隔音做得不够好，等有机会想重新做一下隔音，如果速度比较快车内的胎噪还是比较明显的。
2017款 1.5T 秦100,杭州,2018年1月,19.99,4,5,5,5,5,5,5,4,上下班,购物,接送小孩,自驾游,DM,油耗是这款车最大的优点了，平时在市区驾驶基本上可以不用耗油。,价格方面还是稍微贵了一些，这款车的价格比普通车要贵上一大截，相比于汽车来说新能源的车子虽然国家有补助，不过在价格方面还是要贵上一些。
2017款 1.5T 秦100,苏州,2017年11月,19.99,5,5,5,5,4,5,5,4,上下班,购物,接送小孩,自驾游,DM,这款车的油耗确实挺好的，平时充电比较方便，在市区驾驶的话基本上就可以用电了，短途旅行也可以把油钱给省下了。,这款车的舒适性还是稍微差了一些，过减速带的时候车内的颠簸感还是比较明显的。
2017款 1.5T 秦100,北京,2017年7月,19.99,5,5,5,5,4,4,5,5,购物,上下班,接送小孩,跑长途,DM,比亚迪这款车的有何优势还是非常明显的，我平时在市区开了，基本上是用电的模式，加上这款车在后期的用车成本不高，所以作为一款新能源的车来说，这个车的能耗优势还是非常明显的。,感觉这款车的态度非常大，尤其是速度超过70之后，感觉能够听到明显的胎噪，特别是在走一些坑洼路面的时候，石头砸到车身的声音，感觉还是比较明显的，加上这个车的胎噪也比较大，所以说这点感觉会影响整个车子行驶的质感和舒适性。
