购买车型,购买地点,购买经销商,购买时间,购买裸车价,空间,动力,操控,能耗,舒适性,外观,内饰,性价比,购车目的1,购车目的2,购车目的3,购车目的4,口碑
秦                        2018款 秦EV450 智联尊尚型,广州 ?,比亚迪南沙店,2018年9月,16.88?万元                                补贴后,5,5,5,5,4,5,4,5,上下班,,,,"【最满意的一点】我对我的这款车整体还是挺喜欢的,我感觉性价比还行,看了不少的新能源车我还是挺喜欢秦这款车的外观,感觉比较别致新颖,性能配置上也是够用，车子的能耗相对比较低,感觉使用起来还是挺节省的,关键现在也是提倡节能环保,代步使用合适。【最不满意的一点】车子悬挂稍微有点硬，感觉滤震的效果一般,车子高速过减速带的时候颠簸感有点厉害,舒适性上稍微有点打折扣,新车还稍微有点异味,通了几天风减轻不少,其他没什么大问题。【空间】空间可以,满足我们一家三口的使用还是没有什么问题的,我儿子现在快三岁了,平时都是我开车，我对象带着孩子坐在后排,还算是比较轻松一些,后备箱盛放点小物品还是够了。【动力】这款新能源车的功率对于在市里代步使用还是不错的,现在我开车起步的时候感觉还是比较..."
秦                        2018款 秦EV450 智联尊尚型,上海 ?,上海华帆旗开,2018年9月,26.07?万元,4,5,5,5,4,5,5,5,上下班,购物,,,【最满意的一点】买的是顶配的版本，落地价还算可以吧。前排座椅的功能还算丰富，有加热和通风功能。不管是天气冷还是天气热，开起来都挺舒服的。加上配置也还不错，前后雷达和全景影像等等，开起来还是挺方便的，新手上路的话，也不用担心那些刮蹭问题。它的续航能力还是很不错的，用快充充电桩的话，基本上一个多小时就能够充满。【最不满意的一点】我觉得最不满意的地方就是储物空间，这款车的空间还算是比较大的，而且储物空间也算是大的。不过在设计上的话，我觉得不是那么的合理。有时候有些小件的物品放进去，会觉得不太那么容易找到，可能也和它没有分层设计有关。我觉得如果有分层设计的话，会更方便一点。【空间】这款车的乘坐空间还算是不错的。不管是前排空间，还是后排空间，在腿部上面的话，都会觉得比较宽松，不会说...
秦                        2018款 秦EV450 智联尊尚型,深圳 ?,深圳金俊迪汽车公司,2018年6月,16.88?万元                                补贴后,4,5,5,5,5,5,4,5,上下班,,,,【最满意的一点】我对这辆车最满意的地方就是这辆车的养车费用上，作为一个纯电动车保养的钱就比汽油车省了不少，另外在油价不断上涨的今天，我再也不需要去加油站加油了，省下不少钱的同时还省下了去加油站排队的时间。【最不满意的一点】我对这辆车的内饰的配色设计不是特别满意，我觉得内饰和座椅的配色不好看，看起来稍微显得有点老气，跟这辆车相对年轻时尚的外观造型不同步。我觉得这辆车的内饰的设计和配色可以更年轻时尚些。另外新车的时候内饰的味道稍微有些大，这点挺不好的。【空间】空间方面我觉得还好吧，前排空间还过得去，腿部空间足够了，但是后排空间就不是很充足了，跟朋友出去玩人多的时候，后排坐三个人就觉得有些挤了。【动力】整体动力完全不亚于我开过的很多燃油车，甚至是有过之而无不及，电动车最...
秦                        2018款 秦EV450 智联尊尚型,海口 ?,海口翔迪汽车服务有限公司,2018年9月,16.99?万元,4,5,5,4,4,4,5,5,上下班,购物,接送小孩,,【最满意的一点】入手到现在对我来说最满意的地方就是“省”，选择了秦的新能源与电相处，换来的就是更低的养车费用，入手到现在跑了有900多公里了，总共充电就三次，慢充一般充满电大约20元左右的电费，市区续航里程300 公里，费用上不到一角一公里，身为秦的车主这点是必须满意的。【最不满意的一点】最不满意的地方还是感觉隔音差了些，都说电动车安静，但是个人感觉大家都忽略了电机吧，秦的电机还是比较大的，加速过程的电流声还是比较明显的，对我而言就是隔音不行，其他来说暂时都挺满意的，后续用车再来做补充。【空间】空间方面一般吧，就是标准A级车型的空间，宽敞算不上，家用来说足够用的了。乘坐空间：前后排的表现可以的，后排中间位置差点意思，座椅支撑还是挺到位的，空间上不适合长时间乘坐，短途来...
秦                        2018款 秦EV450 智联锋尚型,郑州 ?,河南文华比亚迪,2018年9月,25.07?万元,4,5,5,5,5,5,5,5,上下班,购物,,,【最满意的一点】我对这辆车最满意的地方就是续航里程方面，这也是这辆车到手之后给我的最大的惊喜。另外一个满意的地方就是这辆车的外观吧，很漂亮的一款车，年轻时尚，辨识度也非常的高，非常符合我对车的审美。【最不满意的一点】其实我对这辆车大部分都还挺满意的，甚至有些地方还给了我一些小惊喜。如果说不满意那就说说空间方面的吧，前排空间还好，后排空间稍微有点小了，尤其是后备箱的空间，虽然不算小，但是空间却不规整，装东西就不那么方便了。【空间】空间就还好吧，正常三口人的家庭足够了。但是我还是得说说后备箱，后备箱虽然还挺大的，但是跟同级别的电动车相比还是有点弱的，而且还不是那么规整，想放下大一点的东西还是稍微吃力的。我家三口去郊区玩带点帐篷、孩子的小推车，玩具以及一些工具，装起来有点费劲了...
秦                        2018款 秦EV450 智联时尚型,莱芜 ?,莱芜市中正新能源,2018年8月,14.98?万元                                补贴后,5,5,5,5,5,5,4,5,上下班,购物,,,【最满意的一点】我最满意的地方应该是后期成本了吧，喜欢看新闻的朋友肯定知道最近的油价，国际原油降价，国内的油却涨价，这样的逻辑也是没谁了，没办法，普通老百姓就认了吧，大家都喊着油价高，开不起车了，其实说实话，油价再高，开车的人还得得照常开，我之所以换车，并不是因为说加不起油了，只是觉得随你怎么涨，我并不是非你不可，新能源现在的发展越来越好了，还是想着买辆纯电动的车吧，平时上班下，接送老婆和孩子挺合适的，跟油耗说拜拜，节能环保从我做起！【最不满意的一点】比较不满意秦的内饰，虽然看着不错，但是实际上做工不是特别的好，新车刚刚提到手的时候车内的味道比较重，因为家里面有小孩的原因，对这个方面比较敏感，头半个月坚持将新车在太阳下开窗通风加暴晒，慢慢的味道才变淡，然后才敢让孩子乘坐。【空...
秦                        2018款 秦EV450 智联时尚型,上海 ?,上海弘仁宝佳新能源,2018年9月,24.07?万元,4,5,5,5,5,5,4,5,上下班,购物,,,【最满意的一点】舒适性真滴还不错，纯电动车开着特别安静，没有发动机那种噪声，整个世界都清静了感觉真的太棒了，之前开的车就噪音很大，我妈坐上去都很嫌弃，老人家就是怕吵，现在这车她就比较满意了，安安静静的开车聊天什么的特别清楚。减震的效果很不错，遇到比较颠簸的路也不会很明显的抖动，座椅的舒适性也是比较好的，坐着比较柔软舒服。【最不满意的一点】内饰看着不够档次啊，颜色比较暗沉，更要命的是座椅的材质，要不就直接上真皮要不就不要吧，用仿皮的就很拉低档次，我觉得手感不是特别好，刚到手的时候车子还会有股味道，我鼻子又很敏感，隔了一段时间才开。【空间】主要是后排空间小，坐着不好伸腿，会顶到前面的座椅，而且也不好坐多一个人，两个人就完全坐满了，前排相对会好很多。【动力】动力还行，跑...
秦                        2018款 秦EV450 智联尊尚型,长沙 ?,长沙金旋风,2018年8月,26.07?万元,5,5,5,5,5,5,4,5,上下班,购物,接送小孩,,【最满意的一点】综合起来感觉各方面都是比较满意的，就目前的使用感受来说，最满意主要是两点，第一是动力和续航，第二是空间。买车之前也对比了很多其他车型，秦的动力参数应该是拔尖的，开起来也确实感觉很有劲，电机加速的感觉和烧油的发动机还有些不一样，没有任何迟钝，反应很快，踩多少有多少，后劲也挺足。实测秦的续航，最多能开到300多公里没问题，表上显示剩余60多公里，保守估计开到没电大概四百多，完全够用，油车加二百块钱也就400公里吧。作为电动车来说，秦的电池没有占用太大空间，车内空间挺宽敞，后备箱满足日常的使用没问题，这点也比较满意。【最不满意的一点】中控档把的位置设计靠近副驾驶，我开着倒是没问题，但是看着总觉得有点别扭，不知道是个啥设计思路，电子手刹完全没必要占那么大地方，两边位置调换...
秦                        2018款 秦EV450 智联尊尚型,河源 ?,河源市永发,2018年7月,26.07?万元,5,5,5,5,4,5,4,5,上下班,购物,,,【最满意的一点】最喜欢就是秦的外观，外观上设计有自己的特色，开出去辨识度也高。不像其它燃油车都长相差不多，停路边都开不出那辆是自己的车，自从换了秦我离老远都能看到自己的车在哪，因为秦有很多地方和燃油车不一样。。【最不满意的一点】其实对于纯电动车最不满意的就是胎噪有点明显。还有有时候感觉中控那有异响，但有的时候也没有，所以这个也算个不满意的点吧，都是一些小问题反正。【空间】空间不算差吧，反正平时一家人出去玩，后排坐三个人是没问题的，后备厢的容量也足够大，可以放两个小点的箱子，但正如其它网友说的，车内的储物空间不是很方便，尤其出去玩人多还带孩子的时候。【动力】加速蛮快，这出乎我的意料了，没想到这方面给我的感觉比传统燃油车还要好，起步换档完全没有顿挫感，动力也是很平顺的...
秦                        2018款 秦EV450 智联时尚型,烟台 ?,交运比亚迪,2018年7月,14.88?万元                                补贴后,4,5,5,5,5,5,4,5,上下班,,,,【最满意的一点】纯电动车的优势大家都知道，开车的时候真的特别安静，车子启动的时候，不熟悉的人坐这车可能会疑惑，这车子启动了吗？上次有个朋友就是，说纯电动车的行驶质感真是不错，不像有的车发动机的噪声太大了。另外就是省钱，超省钱，充一个电我能跑半个月，能有多少钱？它的续航有400公里，跑高速也没问题，一个半小时就能充满电，出发前准备好就行了。【最不满意的一点】这车子外形颜色还挺丰富，比较青春靓丽，红色、橙色、蓝色和白色，每一款颜色我都挺喜欢的，但内饰颜色就有一点沉闷了，全黑和黑棕，提车时只有全黑，觉得内饰的配色不妨大胆一些，年轻人嘛，还是需要一些活泼点的感觉。【空间】紧凑型SUV，家用是很合适的，前排足够宽松，我个子一般，就是有点壮，坐驾驶室调好座椅头顶还有一拳的空间，后排座...
秦                        2018款 秦EV450 智联尊尚型,苏州 ?,苏州元生新能源,2018年8月,16.99?万元,4,5,5,5,4,5,5,5,上下班,购物,,,"【最满意的一点】续航的话,可以说是我最满意的一个点了。上下班来回程，可能就是130到140km，有时候会绕个远路或者逛一逛什么的，不太好估算。不过，绝对要够用的。而且这几年充电桩的覆盖范围还是很大的。说到充电问题的话，还有一点也算是挺满意的，就是快充还是很带劲的，一个小时都可以冲到一半了。【最不满意的一点】对秦不满意的地方还是有的。毕竟车无完车，人无完人。第一个就是它的悬架还是有点偏硬的，所以有时候跑烂路的话，感觉有点颠，不是那么的舒服。第二点的话就是驾驶室的储物空间，相对来说设计不是那么合理，有时候一些小物件的话，不是那么好放。【空间】空间设计还算是不错吧。前排空间比较充裕。后排有一次坐满人，也不算拥挤。以轿车来说的话，还算是比较舒适的。储物空间，尤其是驾驶台那边，设计..."
秦                        2018款 秦EV450 智联锋尚型,深圳 ?,龙南汽车贸易,2018年9月,15.99?万元                                补贴后,4,5,5,5,5,5,4,5,上下班,购物,自驾游,,【最满意的一点】实惠经济的纯电动，这个电耗我很满意，和燃油车比起来，用车成本完全是非常让我感动的，又省事又省钱，不用每天关注着加什么油，涨了多少钱，电一充就完事，还很快。买车的时候会有国家的政策支持，补贴力度还是很不错，经济性是绝对有的，还可以响应一下国家的绿色能源发展。更重要的一点是，开车不限行，想啥时候开都成，这种感觉特别爽。【最不满意的一点】这个内饰怎么看怎么不顺眼，颜色很沉闷，材质也一般，看起来没什么特别的地方，这个价格内饰当然是不可能豪华的，但起码要做得好看些，有点设计吧，毕竟开车的时间对着的就是内饰，颜值还是很重要的，这也是我买车前很纠结的一点。【空间】不知道该说这车适合身形瘦小的人呢还是说怪我人高马大的，这车内空间对我来说是比较局促的，坐在驾驶位是没问题的，...
秦                        2018款 秦EV450 智联锋尚型,沈阳 ?,沈阳美驰虎,2018年9月,24.07?万元,4,5,5,5,4,4,5,5,上下班,购物,,,【最满意的一点】最满意的是性价比高，后期使用成本基本上可以忽略不计了。因为我的秦是纯电动的，根本不需要喝油，你们是给油就跑，按是给电就跑。油价和电的价格大家可以比较下，根本是一个天上一个地上，这么一算一年省很多钱。【最不满意的一点】非说那不满意，那就是后备箱偏小，如果想出游或者送孩子上学，密码箱大的话不是很好放，后备箱虽然不常用，但是用到的时候太小，内心难免有点小小的不开心，后备箱空间要能在大点就好了。【空间】我1米76的个子，坐在里面的话，不会觉得很拥挤，活动空间还是很大的。后排的座位也比较宽，容纳3个人不是问题。后备车厢也能满足使用需求，不算小。【动力】提速很快，随随便便开起来就是80往下的加速。电机的话，在瞬间最大扭距上都不需要考虑转速问题。总的来说，很不错...
秦                        2018款 秦EV450 智联锋尚型,赣州 ?,聚缘汽车销售,2018年8月,15.99?万元                                补贴后,4,5,5,5,5,5,5,5,上下班,购物,,,【最满意的一点】最满意的要是这款车的能耗了，新能源的车就是好，不烧油非常的省，电耗在14左右也就是百公里十四千瓦时，相当相当的省钱了，而且新能源汽车在未来应该会是一个趋势，节能减排从我做起嘛，算是为环境保护贡献自己的力量。【最不满意的一点】最不满意的应该是这款车的空间，空间不算太够用，满载的情况下还是有点拥挤了，从后排空间来说我坐在后排，1米75左右的身高膝盖刚好挨到前排座椅，这个空间是稍微有一点小的。【空间】很显然空间并不是这一款车的优点，车身宽度1.77米，后面坐上三口之家两个大人一个孩子的话刚刚够坐，如果要再加一个人的话就很难坐得下了。【动力】动力也算是这款车的一个优点了，动力十分强劲有200多马力，对于这个造型的轿车来说很强大的马力，买来的这段时间总体差不...
秦                        2018款 秦EV450 智联尊尚型,郑州 ?,郑州荣光比亚迪,2018年9月,26.07?万元,5,5,5,5,4,5,4,5,上下班,购物,自驾游,,【最满意的一点】最满意的就是续航了，日常开一般不会把电量开到最低，保留百分之十左右的话开三百公里没有问题，平时一般也不会去太远的地方，一百五十公里的活动半径完全够用了，而且现在充电桩越来越多，充电也是比较方便的。还有就是秦的快充很给力，一个半小时能充百分之八十，跑跑长途也未尝不可。另外，之前开惯了汽油车再开秦会觉得特别安静，首先发动机的噪音就没有了，而且电动车起步超车感觉很有爆发力，正常开也没有换挡的顿挫，很平顺。【最不满意的一点】最不满意的地方有两点，第一车悬挂有点硬了，走不好的路的时候会有点颠。第二，就是驾驶室和副驾驶室储物空间少了点，平时和老婆的一些水杯和各种小物件总感觉无处安放。【空间】空间还是挺大的，作为一个轿车来说，前排头部空间很充足，我一米八的身高坐在前排头...
秦                        2018款 秦EV450 智联锋尚型,盐城 ?,盐城洪兆连,2018年8月,25.07?万元,4,5,5,5,5,5,5,5,上下班,,,,【最满意的一点】综合来说各方面都是比较满意的。提速快，一脚油门下去速度蹭蹭的就起来了，而且完全没有燃油车那种干吼，加速过程波澜不惊，爆发力十足，真要跑起来，想看到秦的尾灯不是一件容易事。外形看着很顺眼，尤其是尾灯晚上一亮起来，整条的大光带很抓人眼球，回头率杠杠的。内饰感觉也不错，设计、做工和用料都挺好，比较有高级感。【最不满意的一点】后备箱空间比较小，不过这也不算问题，但是后排座椅不能放倒就真的有些不方便了。日常来说后备箱是够用的，但是需要搬一些大件的东西座椅不能放倒就无法满足，灵活性稍微差一些。【空间】乘坐空间没毛病，绝对够用，前排的空间很大，腿部空间和头部空间都很足，后排虽然腿部空间没有前排那么任性，但是坐进去也算是挺宽敞的，腿部剩余一圈多一些，车内的小格子和扶手箱也...
秦                        2018款 秦EV450 智联尊尚型,北京 ?,北京鑫敏恒比亚迪,2018年4月,16.99?万元,4,5,5,5,5,4,5,5,上下班,,,,【最满意的一点】提速爽啊，各种舒适型配置都有了【最不满意的一点】电机声较大吧，车门轻轻关不上【空间】空间：空间一般般吧，毕竟紧凑车，明明车身4米7多，但是轴距竟然不到2米7，有点小失望。乘坐空间：我身高177，空间合适，没有压迫感，后排正常水平，家庭用车适中。储物空间：后备箱较小，相对于帝豪ev，小了点，但是车内空间比帝豪大，所以说有利有弊。【动力】动力：堪比2.0T，试了下1到120，毫无压力，不会像别的功率低的车，到了8，90就踩不动了。加速表现：加速7.9s，推背感极强，国产电车里处于领先，当然跟特斯拉比还是差了不少，不过价格差太多了。【操控】操控：方向盘手感好，真皮，指向性很准，有全景360，前后雷达，会有警报，女司机会很喜欢这个功能哈...
秦                        2018款 秦EV450 智联锋尚型,北京 ?,北京军鹏,2018年8月,15.69?万元                                补贴后,5,5,4,5,5,5,5,5,上下班,,,,【最满意的一点】续航里程对我来说很足，很够用，很耐用；外形看着大气，还是入的我的法眼的；动力表现优秀的。【最不满意的一点】没有，都很好。【空间】表现力打满分，宽敞富有，驾驶座位表现最为好，很宽敞，坐着头部距离车顶能有一个手掌的余量，腿部更是觉得富裕了，就是我的腿想怎么样就怎样了，乘坐的座椅也不逊色，横向纵向的余量都有很好的表现，后备箱大，可以放三个行李箱不止，容量是非常可以的。【动力】优秀滴很，起步和加速都很顺，没有顿挫，没有迟滞，反应快，爬坡的地方我觉得表现也是很好，感觉不会太吃力，上个坡也还是很顺顺当当的，很满意。【操控】方向盘操控起来确实还是挺顺当的，转向还是挺精准地，一瞄一个准，刹车灵敏滴很，很有安全感。【电耗】非常之优秀啊，一般就是上下班...
秦                        2018款 秦EV450 智联时尚型,东莞 ?,东莞和盛佳,2018年8月,14.88?万元                                补贴后,4,5,5,5,5,5,5,5,上下班,,,,【最满意的一点】操控性贼好，开起来称手；外观好看，酷酷的感觉，又有种神气威武的气势，内饰的布置还叫人贼舒服，大气。【最不满意的一点】贼喜欢了，爱还来不及，哪来的不满意。【空间】不能说贼宽敞了，一般宽敞，前后座都看这宽，也挺大的，这个高度和这个膝部的空间都有不少的富裕，我的驾驶座贼宽敞，舒服自在的，够我翘个二郎腿，随意姿态的享受，后排进去就直接躺那儿啊，空间也还可以，三个人宽宽松松没有问题。【动力】感觉还行，起步不会拖拖拉拉的，提速反应倒是贼快，刺溜一下，就出去了，还是给面儿的。【操控】操控性很好，转转方向盘，很轻，灵活的跟要脱靶似的感觉，也是没谁了，打转向的时候也可以指哪打哪，准确度非常之高，过弯的时候也贼稳了，不带飘的，侧倾的感觉也很小，不会左右摆来摆去...
秦                        2018款 秦EV450 智联时尚型,驻马店 ?,驻马店市东方比亚迪4S店,2018年9月,14.88?万元                                补贴后,5,5,5,5,4,5,5,5,上下班,,,,【最满意的一点】最满意的要说就是省钱了，买新能源也就是看中了这一点。【最不满意的一点】跑高速的时候胎噪比较大，可能是因为平时跑市区太安静了吧，反差挺大的。【空间】空间很够用了，180的朋友也坐过我的车，也没有抵到头，后排空间可以接受。储物空间设计的还算合理，平时随手放点什么东西也方便。【动力】开了一段时间觉得挺好的了，加速还比较给力，还可以超车。当然平时也没有开很快，安全第一，没什么特别的事情就跑的不快。【操控】方向盘轻巧，简单好操作。【电耗】平时上下班的时候用的比较多，我习惯晚上充好电，如果不怎么出远的话，充一次电我可以用个六七天。【舒适性】开车很享受，座椅这一块仿皮的，软硬度没什么太大感觉，开车的话短途觉得轻轻松松不是问题，长途的话，疲...
